title,count,organisations
"20HOOK CAP STAND, 30HOOK CAP STAND, CAPTION BOARD, HONOUR BOARD, EXECUTIVE TABLE GLASS, MAGAZINE HOLDER",16,['indo tibetan border police']
20MEN LIVING PUF SHELTER ( SIZE 10. 44M x 7. 620M x 4. 40M HEIGHT INCLUDING 1. 5M VERANDAH IN FRONT ),8,['assam rifles']
235/ 65 R- 17 TYRE,37,['border security force']
235/ 70/ R16 TYRE,34,['border security force']
"24 CORE OFC FRP ARMOURED WITH ARMOURING WITH ECCS TAPE, XVR WITH HDD 1TB, RADIO LINK POINT TO POINT W",16,['border security force']
"251526515901 Sliding key, 265141106502 Hexa nut M26x15, 285226257801 PTFE Seal 57 39x9 RH, 25152620530",4,['border security force']
"252718130145 OIL FILTER, 278609999828 FUEL FILTER, WATER SEPRATOR, FS 19660 FLEET GUARG WATER SEPRATOR",16,['indo tibetan border police']
"253409110117 Fuel Filter Assy, 279709119901 Fuel Filter Paper Type, 253405113702 Crank Gear, 253405110",4,['border security force']
"266335707101 Oil seal retaiuer rear axle, 266335707709 Oil seal Rear axle, 266335703107 Bearing assembly",10,['border security force']
"269946600140 Seal kit with TAS 15 Seal, 269946600253 Seal protector, 550246800128 Suction line assembly, 5",4,['border security force']
"278618999994 ENGINE OIL FILTER, 278609999828 FUEL FILTER MAIN, 220747709902 FUEL WATER SPRATER, 278609",4,['indo tibetan border police']
"278901990188 Deearb gas kit, 278901990185 Engine overhaul gas kit, 278901107804 Oil seal crank shaft",4,['border security force']
"2X6 SQMM UNARMOURED CABLE, 1 SQMM FRLS COPPER WIRE, 1 SQMM FLEXIBLE TWO CORE CABLE, PVC PENDANT HOLDER",10,['border security force']
"3 CORE FLAT SUBMERSIBLE CABE 4MM, 2 INCH PVC LOLUMN PIPE 3 MTR LENGTH OF EACH PIPE PRESSURE 12 KG SQ",4,['border security force']
"3 KVA Online UPS with 30 minutes backup, 5 KVA Online UPS with 30 minutes backup, 12V 26AH SMF Batter",10,['central armed police forces']
"3 PIN TOP 16 AMP, 3 PIN TOP 5 AMP, 3 PIN SOCKET 16 AMP, 3 PIN SOCKET 5 AMP, DETTOLE 125 ML, FEVI QUICK, Q",4,['border security force']
3 Part Automated Hematology Analyzer ( V2 ),10,"['border security force', 'national security guard']"
"3 Pin Socket 5- 6 Amp, 3 Pin Socket 15- 16 Amp, 3 Pin Top 15- 16 Amp, Glossy Paper, Pencil cell 1. 5 Volt A",28,['border security force']
"3 Way Cannulas, IV Cannula 18G, IV Cannula 20G, IV Cannula 22G, IV Cannula 24G, 3PLY Surgical Mask, Nebul",16,['central reserve police force']
"3 pieces 5 feet long each and telecopic type and highly insulated FRP HT Discharge Rod, Panel mounte",13,['national security guard']
"3 point Sling web Insas Rifle, Sling Insas LMG, Pull Through Insas Rifle, Pull Through Insas LMG, Penci",4,['border security force']
"30X400mm POINTED hammer SDS plus shank chisel bit for demolition hammer, bricks hammer 400gram, Chain",7,['indo tibetan border police']
