title,count,organisations
"Flex Quick 100 Gram, Hand gloves soft leather, Handle plastic Big size, Handle plastic Medium, Handle P",4,['border security force']
"Flex, Body Suit Camo, Face Net Camo, Camo Vehicle Net, Garnish Cloth, Helmet Camo, Web Equiptment, Torch w",4,['border security force']
Flexible Transparent Sheet ( V2 ),4,['central armed police forces']
Flexible transparent sheet,10,"['indo tibetan border police', 'central armed police forces']"
"Flexible wire 40 by 76, Piano Type Switch 6 Amp one way, Piano Type Socket 6 Amp Three Pin, Piano Type",4,['indo tibetan border police']
"Flight Ticket, Train Ticket, Expenditure, Local Transportation, Tr",7,['central armed police forces']
Float Cum Boost Charger ( Battery Chargers ),4,['border security force']
"Float Glass panes, Bolts and Nuts, Galvanisecd wire mesh, M S Wire Nails, Coarse Sand, Bricks, Stone Aggr",7,['central reserve police force']
"Floor Cleaner ( V2 ), Air Freshener Liquid, Air Freshener Solid and Gel, Squeegee Washer Wiper Mopper ( V",4,['border security force']
"Floor Cleaner ( V2 ), Insecticides for mosquitoes cockroaches and other insects ( Liquid vaporizer and",22,['border security force']
Flower Plants,13,['national security guard']
"Flush door, plywood, Glass putty, curtain rod stainless steel, curt",19,['central reserve police force']
"Fly Wheel Assy, Pilot Bearing, Clutch Plate, Pressure Plate Diaphragm Type, Release Bearing, Rear Brake",4,['border security force']
"Fly Wheel, Clutch Disc, Clutch Cover, Assy Cluth release bearing, Drive Assy 12V, Screw Captive Washer C",4,['border security force']
"Fly wheel ring 138 Teeth, Wiper blade, Chassis buffer bush, Rear differential oil seal, Shock observer",4,['border security force']
Foam Based Wheeled Fire Extinguishers ( V2 ) as per IS 16018,7,['indo tibetan border police']
Fodder ( Chara ),22,['border security force']
Fodder ( GWARTY ),7,['border security force']
Fogging Machine ( V2 ) as per IS 14855 ( Part 1 ),34,['central armed police forces']
"Fogging Machine ( V2 ) as per IS 14855 ( Part 1 ), Portable Disinfectant Fogging Machine, Flying Insect C",10,['central armed police forces']
"Food testing system 1, Food testing system 2, Food testing system 3, Food testing system 4, Food testin",4,['central armed police forces']
"Fool Jharu, Broom Stick, Lizol liquid 500ml, Dettol hand wash 200 ml, Harpic 500ml, Odonil 100gm, Room fr",4,['border security force']
Foot Operated Pedal Bin or Bucket for Bio- Medical Waste Collection,28,['indo tibetan border police']
"Formujet TONER CARTRIGE, TONER CARTRIGE, EPSON INK, DVD R, BATTERIES AAA",55,['border security force']
Fresh Milk 07H,7,['central armed police forces']
Fresh Milk 07L,4,['central armed police forces']
Fresh Milk2,4,['central armed police forces']
"Fresh Paneer ( made of Milk ) with 3. 5 % fat ( Amul/ Verka ) ( Packed and not Loose/ Open ), Ginger, Green Chi",7,['indo tibetan border police']
"Fresh Ration Supply FM Lada To Bisai, Dry Ration Condiments S K Oil Supply FM Lada To Bisai, Misc Ite",7,['indo tibetan border police']
Fresh Veg,7,['central armed police forces']
"Fresh ration 1, Fresh ration 2, Fresh ration 3, Fresh ration 4, Fresh ration 5",25,['central armed police forces']
"Fresh ration 1, Fresh ration 2, Fresh ration 3, Fresh ration 4, Fresh ration 5, Fresh ration 6",19,['central armed police forces']
"Fresh ration 1, Fresh ration 2, Fresh ration 3, Fresh ration 4, Fresh ration 5, Fresh ration 6, Fresh rat",379,['central armed police forces']
"Front Hydraulic Cylinder Oil Seal Kit, Rear Hydraulic Cylinder Oil Seal Kit, Front Hydraulic Cylinder",4,['border security force']
Front Office Associate ( Skill Development Training ),10,['central reserve police force']
"Front disc pad assembly tata safari XM, Rear brake shoe tata safari XM, Fan belt tata safari XM, Clutch sl",4,['border security force']
"Front kit English BT, volume controller, Dust cover assembly, Display Module 132x90 TFT, Keypad control",4,['border security force']
"Front wheel disc, Front wheel disc pad, Front wheel calliper Assy bolt, Front wheel bolt and nut, Rear",4,['border security force']
Fruit Plants,25,['indo tibetan border police']
"Fruit TD Mango, Fruit TD Pears, Fruit TD Pineapple, Fruit TD Cocktail, Veg Td Karela in Brine, Veg Td To",13,['indo tibetan border police']
"Fuel Filter Mahindra Bolero Camper 4X4, Fan Belt Mahindra Bolero Camper 4X4, Engine Oil Filter Mahind",4,['border security force']
Fuel Free Solid Waste Incinerator,7,['central armed police forces']
"Fuel Injection Pump With Injectors Major Overhauling Vehicle No CH01GA 5883 TATA SUMO 30 BN, Fuel In",25,['indo tibetan border police']
Fuel Injection Pump With Injectors Major Overhauling Vehicle No CH01GA 5951 TATA 407 OF 37 BN FIP N,4,['indo tibetan border police']
Fuel Injection Pump With Injectors Major Overhauling Vehicle No CH01GA- 3763 SCORPIO S10 OF 2BN FIP,13,['indo tibetan border police']
"Fuel filter 1212 1613, Steering UJ cross 1212 1613, Power Steering Filter 1212 1613, air filter 1212 1",4,['central armed police forces']
"Fuel pump motor petrol, Front axle seal inner Maruti gypsy, Head light Relay 12 volt maruti gypsy, Fog",7,['indo tibetan border police']
Full Body Protector for Male ( MHA ),43,"['central reserve police force', 'central industrial security force']"
Full Service and Maintenance Contracts of Photocopier Machine- Multifunction Machines MFM; KYOCERa,13,['indo tibetan border police']
Full Service and Maintenance Contracts of Photocopier Machine- Multifunction Machines MFM; hp; OEM,13,['indo tibetan border police']
Fully Automatic Bio Chemistry Analyzer,16,['border security force']
Fully Automatic Biochemistry Analyzer ( V2 ),4,['border security force']
"Fuser assembly for HP LaserJet Pro M501 DN Printer, Formatter card for HP LaserJet Pro M501 DN Print",13,['border security force']
"G- 12 Gun Powder, G- 40 Gun Powder, Sulphurless Mild Gun Powder ( SMGP )",7,['border security force']
GALVANIZED MILD STEEL FIRE BUCKET ( Fire suppression hand tools ) as per IS 2546,7,['indo tibetan border police']
"GALVANIZED MILD STEEL FIRE BUCKET ( Fire suppression hand tools ) as per IS 2546, Fire Hooks ( Fire sup",7,['border security force']
"GARLIC GRADE 1 BIG SIZE, CARDAMOM LARGE 500 GM PACKET, TAMARIND 500 GM PACKET, RED CHILLI POWDER 500 G",4,['indo tibetan border police']
"GAS BHATTI 20 X20X24 INCH, CHAPATI BHATTI 15X32X15 INCH, PATILA STEEL 20 INCH, PARAT STEEL MEDIUM, CHAK",16,['border security force']
"GASKIT CYLINDER HEAD 11141M86512, O RING SPARK PLUG 11179M71C11, SPARK PLUG 09482M00131, TENSIONER TIM",7,['indo tibetan border police']
"GASKIT CYLINDER HEAD, HLA ASSY RFF, SPROCKET CRANK SHAFT, GASKIT INTAKE MANIFOLD, BELT DRIVE VF 1171, BE",13,['indo tibetan border police']
"GEAR OIL EP90 26 LTRS PACK, 15W40 CH4 50LTRS PACK, COOLANT MAXMILE 01 LTR PACK, TATA DEF 20 LTRS PACK,",4,['border security force']
"GEAR OIL HP 90 SERVO, ENGINE OIL 15 W 40 SERVO, GEAR OIL BOLERO 80 W 90, DIESEL EXHAUST FLUID ABI BLUE",4,['border security force']
"GEAR OIL HP 90, MGO 20W40, COOLANT BULE, DECSEL, EXHAUST, ENGINE OIL 15W40, TQ OIL, GREAS MP3, MAXI MALI O",16,['border security force']
"GEAR OIL HP 90, MP GREASE, BEARING GREASE, DISTILLED WATER, ENGINE OIL FOR MOTOR CYCLE, ENGINE OIL 15W40",4,['border security force']
"GEAR OIL HP NINETY SERVO TWO THOUSAND TWENTY FOUR MANUFACTURE, DIESEL EXHAUST FLUID GULF TWO THOUSAN",7,['border security force']
"GEAR OIL, DISTLLED, URIYA DEF, COOLENT COOL PLUS, MOTOR CYCLE, GREASE RR3",34,['border security force']
GENERAL PURPOSE PLYWOOD,22,['indo tibetan border police']
"GI Iron Pipe 75mm Dia, GI Socket or coupler 75mm dia, GI Tee joint 75mm dia, GI Elbow 75mm dia, Gate Va",13,['central reserve police force']
"GI Nipple, GI Tee, GI Elbow, GI Gate V",19,['central armed police forces']
"GI Pipe 15mm, GI Pipe",10,['central armed police forces']
"GI REDUCER 20 X 25 MM, GI REDUCER 20 X 15 MM, GI NIPPLE 15MM X 2 INCH, GI NIPPLE 15MM X 4 INCH, GI NIPP",4,['indo tibetan border police']
"GI Union 32 mm dia, GI Socket 32 mm dia, GI Elbow 32 mm dia, GI Tee 32 mm dia, Gate Valve 15 mm, Angle v",7,['border security force']
"GIC TYPE 2 AND 9 SHOFU GLASS IONOMER FX II AND FX ULTRA, ULTRA SONIC SCALLING TIP SET wood packer se",4,['central reserve police force']
"GIEMSA STAIN ONE TWENTY FIVE ML FISHER SCIENTIFIC, SP GLUCOSE TEST KIT TEN INTO FORTY FOUR ML ERBA, C",4,['border security force']
"GINGER, Onion ( conforming to grade ' 1 ' quality of BIS specifications onion fresh ) ( Nasik variety wit",7,['indo tibetan border police']
"GIS related Survey Services- Sq. Meter; Forest; 1: 10, 000; Topographic survey and contouring; DWG,",7,['indo tibetan border police']
GIS related Survey Services- Sq. Meter; Forest; 1: 1000; Topographic survey and contouring; CAD for,31,['indo tibetan border police']
"GLASS RUBBER, KING PIN LOWER, KING PIN UPPER, KING PIN BEARING, FRONT AXLE OIL SEAL, UJ cross, Fan Belt, B",4,['indo tibetan border police']
"GLASS TUBE, CHOLESTROL REGENT, LDL REGENT, PAPER ROLE- BEACON, ESR DISPOSL, DETTOL HAND WASH, WISE BUFFER",10,['border security force']
"GLUCOMETER, PULSE OXIMETER, SUTURING NEEDLE CURVED, SILK THREAD WOOL, PLAIN CATGUT 3, PLAIN CATGUT 2, NEE",13,['border security force']
"GLUCOSE KIT 2X200 ML, CHOLESTROL KIT 5X20 ML, TRIGLYCERIDE KIT 5X20 ML, UREA KIT 5X20 ML, CREATININE KI",10,['border security force']
"GLUCOSE KIT, BLOOD UREA KIT, CREATININE KIT, URIC ACID KIT, BILIRUBIN KIT, SGPT KIT, SGOT KIT, ALBUMIN KIT",4,['border security force']
"GLUCOSE KIT, CRATININE, BILIRUBIN TOTAL AND DIRECT, SGPT KIT, SGOT KIT, CHOLESTEROL KIT, HDL CHOLESTEROL,",19,['border security force']
"GLUCOSE REAGENT 2X200 ML, CHOLESTEROL REAGENT 5X20 ML, TRIGLYXERIDE REAGENT 5X20 ML, HDL CHOLESTEROL R",19,['border security force']
"GLUCOSE REAGENT 400 ML, URIC ACID REAGENT 100 ML, UREA REAGENT 100 ML, ALBUMIN REAGENT 250 ML, TOTAL PR",19,['border security force']
"GLUCOSE REAGENT, CHOLESTOROL REAGENT, H D L CHOLESTROL REAGENT, TRYGLYCERIDE REAGENT, UREA REAGENT, CREA",4,['border security force']
"GLUCOSE STRIP ACCUCHECK ACTIVE, HB STRIP TRUE HB, GLUCASE REAGENT ERBA 400 ML, CHOLESTROL ERBA 100 ML,",4,['border security force']
"GOAT ( BAKRA ) LIVE, CHICKEN LIVE, FRESH FISH, EGG FRESH",4,['indo tibetan border police']
"GOAT ( BAKRA ) MOH LIVE, CHICKEN LIVE, FISH FRESH, EGG FRESH, MILK TPM AMUL",4,['indo tibetan border police']
"GOLF 1, GOLF 2, GOLF 3, GOLF 4, GOLF 5",4,['border security force']
"GOLF AD BLUE, BREAK OIL DOT 3, BREAK OIL DOT 4, M OIL 15W40 IRON DRUM, 4T RACER OIL 01 LTR, COOLANT, TQ O",16,['border security force']
"GOLF AD BLUE, MAX1 CLEAN, GEAR OIL HP 90, 4T RACER, MGO 20W40, DISTIL WATER",7,['border security force']
"GOLF BALLS FOR PRACTICE, GOLF BALLS FOR PLAYING, GOLF HAND GLOVES LARGE SIZE, GOLF HAND GLOVES MEDIUN",4,['border security force']
"GOLF KIT AS PER FOLLOWING ITEMS, DRIVER, 3 WOOD, 5 WOOD, IRON 5, IRON 6, IRON 7, IRON 8, IRON 9, PW, SW, ODYSS",4,['border security force']
GOLF KIT SET,7,['border security force']
GOLF KIT WARBIRD FULL SET,4,['border security force']
"GOOD NIGHT MACHINE, GOOD NIGHT REFILL, FLOOR CLEner, glass cleaner, toilet cleane, room freshner spray",13,['central armed police forces']
"GREASE GUN BIG HAND OPERATED TAPARIA, TYRE LEVER, DE SPANNER TAPARIA 12 PCS SET, RING SPANNER TAPARIA",4,['border security force']
"GREASE GUN SMALL HAND OPERATED TAPARIA, GREASE GUN BIG HAND OPERATED TAPARIA, TYRE LEVER, DE SPANNER T",4,['border security force']
GREEN FODDER,7,['border security force']
"GREEN GRASS MAT ROLL FOR VEHICLE MATTING, OMNI PATCH MEDIUM 30 PC PACK, OMNI PATCH SMALL 40 PC PACK, G",4,['border security force']
GREEN ROLLER,4,['central armed police forces']
GREY ROUND NECK VEST FULL SLEEVES,19,['central armed police forces']
"GUITAR YAMAHA PACIFICA, YAMAHA BASS GUITAR, OCTAPAD ROLAND, SPEAKER JBL, SOUND MIXER YAMAHA, MIKE SHURE,",4,['indo tibetan border police']
"GULF AD BLUE FOR ASHOK LEYLAND VEHICLE, GULF AD BLUE FOR FORCE TRAVELLER VEHICLE, ABI BLUE FOR SML VE",4,['border security force']
GWARITY CHARA FODDER,4,['border security force']
GWARITY FODDER,7,['border security force']
GWARITY FODDER FOR CAMEL,28,['border security force']
GWARITY FOODER FOR CAMEL,37,['border security force']
GWARTY FODDER ( CHARA ),4,['border security force']
GWARTY FODDER ( CHARA ) FOR CAMEL,19,['border security force']
GWARTY FODDER CHARA,7,['border security force']
GWARTY FODDER FOR CAMEL,10,['border security force']
Galvanized Steel Barbed Wire for Fencing ( V2 ) as per IS 278,37,['border security force']
Galvanized Steel Barbed Wire for Fencing as per IS 278,58,"['indo tibetan border police', 'border security force']"
Galvanized Steel Chain Link Fence Fabric ( V2 ) conforming to IS 2721,19,['central armed police forces']
Galvanized Steel Sheets ( Plain and Corrugated ) ( V2 ) as per IS 277,52,['border security force']
Garden Sword ( V2 ) as per IS 12409,4,['indo tibetan border police']
Garlic ( Lahshun ),4,['indo tibetan border police']
Garlic seeds or seedlings,7,['indo tibetan border police']
"Garlic seeds or seedlings, Large Cardamom ( Badi Elaichi ) as per IS 13446",4,['indo tibetan border police']
"Garlic, Jeera, Meethi, Badi Elachi, Choti Elachi, Semiya, Ajwain, Sounf, Long, Kasturi Methi, Emli, Sarso, Dalc",22,['central armed police forces']
"Gear lever kit, 4X4 gear lever kit, U J Cross, Stearing U J cross, Tube oil seal, Hub oil seal, Nackle oi",4,['border security force']
"Gel Pen ( V3 ), Ink Refills ( V2 ), Eraser",25,['central armed police forces']
"Gel Pen, V3, Ink Refills, V2, Roller Ball Pen, Roller Ba",4,['border security force']
"General Purpose Ball Valves, V2",25,['central armed police forces']
General Purpose Battery Chargers,4,['border security force']
"General Purpose Hand Gloves, V2",4,['central reserve police force']
General purpose Machinery oils,7,['border security force']
Geru/ Red ochre,4,['indo tibetan border police']
"Geru/ Red ochre, Lime, Laminated Cloth Hessian",13,['indo tibetan border police']
Ghillie Suit ( MHA ),22,"['indo tibetan border police', 'central armed police forces']"
"Gi pipe 20mm, Gi pipe 15mm, Gi union 15mm, Gi union 25mm, Gi short nipple 15 mm, Gi short nipple 20 mm, G",4,['border security force']
Ginger as per IS 1908,22,['indo tibetan border police']
"Ginger as per IS 1908, Garlic seeds or seedlings",22,['indo tibetan border police']
"Ginger as per IS 1908, Potato, Onion, Fresh Paneer, Fresh Bread 400gm, ARVI/ ARUM, BEANS/ SEEMS, BRINJAL, BOT",10,['indo tibetan border police']
"Glass Cleaner, Liquid ( V2 ) as per IS 8540, Air Freshener Liquid, Toilet Cleaner Liquid as per IS 7983",22,['border security force']
"Glass Cleaner, Liquid ( V2 ) as per IS 8540, Toilet Cleaner Liquid as per IS 7983, Air Freshener Solid",13,['central armed police forces']
"Glass Coasters, domestic trays or platters",13,['indo tibetan border police']
"Glass Tableware as per IS 1961, Broom ( V2 ), Insecticides for mosquitoes cockroaches and other insects",4,['central armed police forces']
"Glass Tableware, Glass Coasters",4,['indo tibetan border police']
"Glass Tableware, Tea set",4,['indo tibetan border police']
"Glucometer, Digital B P Apparatus, SS Instrument Tray with Lid, Emergency Tray, Kidney Tray 25cm, Swab H",31,['central reserve police force']
"Glucon D, Bravecto tab, Dewaorming Tab, Calcimust Pet Syp 200 ml, Shakroferrol 200gm",4,['border security force']
"Glucose 1x10, HbA1C 1x2, Cholestreol 1x10, HDL 1x4, Triglicerides 1x5, Creatinine 1x5, Distilled Water 1x",4,['central reserve police force']
"Glucose Reagent 400ml, Bilirubin Reagent 240ml, SGOT Reagent 100ml, SGPT Reagent 100ml, Albumin Reagent",4,['border security force']
"Glucose kit 5X60 ml, Cholesterol kit 5X20 ml, Urea Reagent Kit 5 X20 ml, Triglyceride Kit 5X20 ml, SGOT",4,['border security force']
"Glucose, Urea, Sgot, Sgpt, Alkaline phosphate, Total protein, Uric Acid, Albumin, GGT 100 ml, Acidic sol 6x1",10,['central armed police forces']
"Glue Gun Sticks, Plastic tie 6 inch, Crimping Tool D link, Duracell 9 volt rechargeable battery charge",4,['central armed police forces']
"Glue Stick, V2, Roller Ball Pen, Paper Adhesive, Liquid Gum and Office Paste Type as per IS 225",4,['border security force']
"Glue stick 15 gm cores clear, A4 size paper Fluorescent paper ream yellow, A4 size paper Fluorescent",25,['central armed police forces']
Glyphosate 41 % SI,58,"['border security force', 'national security guard']"
"Godrej Aer Matic Room Freshener Violet Valley Bloom Spray 225ml Machine, Pen Stand with Crocodile le",4,['central armed police forces']
Godrej Forte Pro 30 Liters Digital Electronic Safe Locker with Motorized Lockeng Machanism light Gr,4,['central armed police forces']
Godrej Slim line Almirah,4,['central armed police forces']
Golf Balls,7,['border security force']
Golf club complete set,4,['border security force']
"Golf kit Taylor made stealth 2 complete set 11 clubs and Bags, Golf Tees, Golf Balls Bisontact, Golf G",4,['border security force']
"Good knioght coil, Good Knight Machine, Good Knight Refill 200ml, Pencil Batteries AA, Pencil Batteries",10,['central armed police forces']
"Goods Transport Service – Per KM Based Service- Household/ Office, Packed Milk, Food Grains, Text",22,['indo tibetan border police']
Goods Transport Service – Per KM Based Service- Household/ Office; 9 TON; 27 FT Truck,4,['border security force']
Goods Transport Service – Per KM Based Service- Household/ Office; 9 Ton; 27 FT Truck,55,['border security force']
Goods Transport Service – Per KM Based Service- Household/ Office; Closed Body LCV Truck; 19 FT L,7,['indo tibetan border police']
Goods Transport Service – Per KM Based Service- Household/ Office; Containerized Truck; 20 FT Sin,28,['border security force']
Goods Transport Service – Per KM Based Service- Household/ Office; Open Body LCV Truck; 19 FT LCV,34,"['central armed police forces', 'border security force']"
Goods Transport Service – Per KM Based Service- Livestock; Open Body Taurus; 21 FT Truck,25,['border security force']
Goods Transport Service – Per KM Based Service- Vehicles; Platform Truck; 32 FT Truck,4,['indo tibetan border police']
"Goods Transport Service – Per MT per KM Based Service- Packed Milk, Food Grains, Food Items, Bag",40,['central armed police forces']
"Goods Transport Service – Per MT per KM Based Service- Packed Milk, Food Grains, Food Items, Liv",13,['central armed police forces']
"Goods Transport Service – Per MT per KM Based Service- Packed Milk, Food Grains, Food Items; Tru",4,['central armed police forces']
Goods Transport Service – Per Trip based Service- Clothing and misc items of ITBP; Containerize,13,['indo tibetan border police']
"Goods Transport Service – Per Trip based Service- Food Grains, Vegetables, Meat, Food Items, Li",7,['central armed police forces']
Goods Transport Service – Per Trip based Service- GOVT CLOTHING GOODS; Containerized Truck; 32,10,['indo tibetan border police']
"Goods Transport Service – Per Trip based Service- Household/ Office, Packed Milk, Food Grains, F",4,['central armed police forces']
"Goods Transport Service – Per Trip based Service- Household/ Office, Textile Goods, Cotton; Open",13,['indo tibetan border police']
Goods Transport Service – Per Trip based Service- Household/ Office; Containerized Truck; 20 FT,4,['national security guard']
Goods Transport Service – Per Trip based Service- Household/ Office; Containerized Truck; 24 FT,43,['border security force']
Goods Transport Service – Per Trip based Service- Household/ Office; Containerized Truck; 32 FT,16,['indo tibetan border police']
Goods Transport Service – Per Trip based Service- Household/ Office; Open Body LCV Truck; 19 FT,148,['border security force']
Goods Transport Service – Per Trip based Service- Household/ Office; Open Body LCV Truck; 21 Fee,4,['border security force']
"Goods Transport Service – Per Trip based Service- Livestock; Open Body Taurus; 21 FT Truck, Good",49,['border security force']
Goods Transport Service – Per Trip based Service- Machinery & Equipment; Open Body LCV Truck; 1,7,['indo tibetan border police']
Goods Transport Service – Per Trip based Service- Open Water; Water Tank Truck; Heavy Tanker,43,['central armed police forces']
"Goods Transport Service – Per Trip based Service- Open Water; Water Tank Truck; Heavy Tanker, Go",82,['central armed police forces']
Goods Transport Service – Per Trip based Service- Open Water; Water Tank Truck; Light Tanker,19,['central armed police forces']
"Goods Transport Service – Per Trip based Service- Open Water; Water Tank Truck; Light Tanker, Go",46,['central armed police forces']
Goods Transport Service – Per Trip based Service- Open Water; Water Tank Truck; Medium Tanker,25,['central armed police forces']
"Goods Transport Service – Per Trip based Service- Open Water; Water Tank Truck; Medium Tanker, G",34,['central armed police forces']
"Goods Transport Service – Per Trip based Service- Packed Gas, Packed Milk, Food Grains, Vegetab",4,['border security force']
"Goods Transport Service – Per Trip based Service- Packed Milk, Food Grains, Food Items, Livesto",16,['central armed police forces']
"Goods Transport Service – Per Trip based Service- Packed Milk, Food Grains, Food Items; Truck;",4,['central armed police forces']
"Goods Transport Service – Per Trip based Service- Packed Milk, Food Grains, Vegetables, Food It",37,['central armed police forces']
"Goods Transport Service – Per Trip based Service- Packed Milk, Food Grains, Vegetables, Meat, F",70,['central armed police forces']
"Goods Transport Service – Per Trip based Service- Packed Milk, Vegetables, Meat, Food Grains, F",10,['central armed police forces']
Goods Transport Service – Per Trip based Service- Valuable goods requiring High Security; Conta,7,['indo tibetan border police']
"Goods Transport Service – Per Trip based Service- Vegetables, Food Grains, Packed Milk, Food It",4,['central armed police forces']
Goods Transport Service – Per Trip based Service- clothing and misc items of ITBP; Containerize,4,['indo tibetan border police']
Goods Transport Service – Per Trip based Service- steel trunk 272 nos; Containerized Truck; 32,4,['indo tibetan border police']
Goods Transport Services- Per MT- Dangerous/ Hazardous; Open Body Taurus; 23 FT Truck,4,['indo tibetan border police']
Goods Transport Services- Per MT- ordinance store; Open Body Taurus; 23 FT Truck,7,['indo tibetan border police']
Gowns Operating,52,['indo tibetan border police']
Granules Preparation Machine,7,['border security force']
Grease Gun as per IS 7794,19,['indo tibetan border police']
"Grease Mp 3, Clutch oil Ashok Leyland, Coolant Ashok Leyland, Servo 68 Hydraulic oil, Futra oil innova,",10,['border security force']
"Grease gun hand operated GGEL, Tyres lever heavy duty 1751, Combination plier 1621 7 inch, DE spanner",7,['border security force']
Green Grass ( Rajka ),10,['indo tibetan border police']
"Griper Board and Rope Climber, Dolphin Base See Saw 2 Seated, Circular Swing 4 Seated, Horse Merry Go",10,['central armed police forces']
Groundnut ( Roasted ) Salted with Red Skin,7,['indo tibetan border police']
Groundnut ( Roasted ) Salted with red skin,4,['indo tibetan border police']
"Gulf Super max ULE Duramax, Gulf Eurocool duro Max 40, Maximile Ultra, Maximile ultra cool, Maximile sy",16,['border security force']
"Gun Stapler TS 13, Stapler Pin 23, Stapler Pin TP 10, Stapler Pin TP 13, Nichiban Tape 0. 5 inch, Nichiba",22,['central armed police forces']
Gwarity Fodder ( Chara ),4,['border security force']
Gwarity fodder ( Bhusa ) for camel,16,['border security force']
Gwarty chara,10,['border security force']
"Gypsona POP 4 inch, Gypsona POP 6 inch, Cotton Bandage 10cms, Cotton Bandage 15cms, crepe bandage 4 inc",22,['central reserve police force']
"Gypsy Dumping Pad Rear, Gypsy Front Brake Pad, Gypsy Indicator Side Glass, Gypsy Propeller Shaft dust",4,['central armed police forces']
"Gypsy Oil Filter, Gypsy Wiper Blade, Gypsy Front Wheel Oil Seal, Gypsy Horn Relay, Bolero Oil Filter, Bo",4,['central armed police forces']
"H D Double Cylinder Car Washer Pump Cap 360 G H 400 Lbs With 20m Pipe, Workshop Engine Caring Trolle",7,['indo tibetan border police']
HAEMORRHAGE CONTROL TRAINING KIT,4,['national security guard']
"HAMMARE 500 GRM, D E SPANNER, RING SPANNER, SCREWDRIVER 2IN ONE, ADJUSTABLE 10 INCH, INSPECTION LAMP, OIL",10,['border security force']
HAMMER COMPOSITE POLYMER WITH COMPOSITE IRON ASSY,7,['border security force']
"HAND BRAKE ASSY, OIL FILTER, DISC PAD SET FRONT, BRAKE CALIPER FRONT SET LH RH, SUSPENSION BUSH KIT, SHO",7,['indo tibetan border police']
HAPO BAG ( PORTABLE ONE MEN HAPO CHAMBER- MK- II,7,['indo tibetan border police']
HAY DODDER,13,['border security force']
"HB HEMOGLOBIN TEST STRIPS, ACCU CHECK ACTIVE, TABLET ZERODOL SP, CAPSULE A TO Z, OINTMENT BETADINE 20 G",4,['border security force']
"HCI NODES, Storage, Network switch, Hypervisor, Data Protection Software, Installation",10,['central reserve police force']
"HCI Node, Virtualization Software, 10G Interconnect Switch, Management Server, D2D Appliance, 48 Port La",4,['central armed police forces']
"HCL TEN PERCENT, LITMUS PAPER BLUE 200 PER PKT, LITMUS PAPER RED 100 PER PKT, TORNIQUTE BELT, ERBA TRIG",4,['border security force']
"HDC LYTE Reagent Pack 800 And 280 ml, Tuberculin 05TU 5ml, Tuberculin 10TU 5ml, Cartridge ABG i Stat E",40,['indo tibetan border police']
"HDC Lyte reagent pack, HDC Lyte Control, HDC Lyte daily Cleaners solutions, Blood grouping kit, Drabkin",4,['border security force']
HDMI 8 x 8 Switcher,10,['border security force']
"HDMI CABLE 10 MTR, Switch 8 Port D Link, LAN Card, LAN Extender, NVR 4 Channel, PoE Switch 8 Port, Dlink",10,['central armed police forces']
"HDMI Cable, HDMI Splitter, POE switch, UTP Cable, WIFI FTTH Router",10,['central armed police forces']
"HDMI VGA CABLE LEAD, FUSE 7 AMP, LED SMALL RED GREEN YELLOW, BACK COVER FOR HHSL SUPER LIGHT, RUBBER FO",10,['border security force']
HDPE/ PE Plastic Pallets ( Injection Moulded ),37,['central armed police forces']
"HE Bomb 81mm, Mor ILL Bomb 81mm, Mor Smk Bomb 81mm, Mor HE Bomb 51mm, ILL Bomb Mor 81mm, Smk Bomb Mor51m",7,['central armed police forces']
"HEAD GASKIT, TEMP. SENSOR, PS 4, AGL, OIL FILTER, SPARK PLUG, ANTI- FRZ 50 50 PRIMIX 3. 78, END BUSH, ASM DRIV",4,['indo tibetan border police']
"HEAD LIGHT ASSY for Toyota Innova, INDICATOR ASSY LH AND RH BODY for Toyota Innova, TAIL LIGHT ASSY f",13,['indo tibetan border police']
"HEAD LIGHT BULB 60 50, FOG LIGHT BULB, BULB 1016, L J P FUSE, COATED TEXTILE FABRIC MTR, HEAD LIGHT BULB",7,['border security force']
"HEAVY DUTY BATTERY 1. 5V, MULTIMETER PROBE, INSULATION TAPE, JUNCTION BOX, 9 VOLT CELL, PENCIL CELL AA, MA",4,['border security force']
HEAVY DUTY VACCUM IRON TABLE,16,['national security guard']
HEAVY DUTY VACCUM IRONING TABLE WITH INBUILT HEATER,4,['national security guard']
"HEDGE TRIMMER or HEDGE CUTTER, Lawn Mowers",21,"['assam rifles', 'central armed police forces']"
"HHMD Superwand PN- 1552900, Rechargeable Bty, Charging Unit, Carry Box, Power Adapter",13,['border security force']
"HI TECH PILOT PEN V 5 FINE, HI TECH PILOT PEN V 7 FINE, HI TECH PILOT PEN V 10 FINE, PEN MAGATOP BALL",25,['border security force']
"HI TECH PILOT PEN V 7 FINE, PEN STAND O TYPE, USE THROUGH BALL PEN, ERASER NON DUST APSARA, PENCIL APSA",4,['border security force']
"HIGH PILLAR COCK, CURTAIN ROD, GLASS PUTTY, WALL PUTTY, BRUSH, TARPOLIN OIL, THINNER, WHITE PA",7,['border security force']
HIGH RESOLUTION BINOCULAR 8x WITH GRATICULE,4,['national security guard']
"HIRING OF PORTER FOR LRP K 1, PORTERS FOR LRP KILO 1TRANSPORTATION OF RATION FOR LRP, PORTERS FOR KIL",4,['indo tibetan border police']
