,bihar,,,,,,,,
SN,title,organisation,ref_no,state,stage,status_update_date,company_name,bid_amount,result_bid_value
27,"Gulal Kund, Sardar Basti, Surajpole Saini Mohalla, Rajendra Nagar, Brij Bihar, Pushvatika, Sanjay Nagar, Radha Swami Satsang Bhawan, Mathura Gate Near Police Station",deparment of local bodies,Nit (21/2019-20) Municipal Corporation Bharatpur,bihar,Financial Bid Opening,09-10-2019,DANDOTIYA CONSTRUCTION CO,2292550.59,2292550.5
28,Result For Prison Van Police Vehicles ( V2 ) ( Q1 ),home department bihar bihar state police a voyage of excellence phq,"GEM/2025/B/5933156, GEM/2025/R/470414",bihar,AOC,24-03-2025,SML ISUZU LIMITED,21758220,21758220
29,SITC AUTOMATION SYSTEM AT CP DIG POLICE PATNA,bihar state office,IOCL/BHSO/PDO/22-23/AUT/LT/01,bihar,Technical Bid Opening,28-10-2022,ORPAK SYSTEMS INDIA PVT. LTD,570595.47,570595.5
30,Construction work of reception room in police station Kishanganj,public works department,EE PWD DIV SHAHBAD NIT-04-2020-21,bihar,Financial Bid Opening,05-11-2020,M/s Tyagi Construction Co,710456.05,710456.06
31,Upgradation of boundary wall at Border Police Post Chakra,dgp jk,e-NIT/EE-PCD/PHQ/26/2018-19,bihar,Financial Bid Opening,27-07-2018,M/S DEEPAK KUMAR GUPTA,487500.26,450479.8
32,raising of height of boundary wall at Police Station Ramgarh,dgp jk,e-NIT/EE-PCD/PHQ/05/2018-19,bihar,Financial Bid Opening,21-06-2018,SAHIL MAHAJAN,2497456.54,1778769.6
33,"Construction of Mora Coastal Police Station at Uran, Dist.Raigad",public works region,AD/AB/TC/ 9582/2016 e-Ten Notice No.19 (16-17) 1/2,bihar,AOC,27-01-2017,M/s. B.R. Thakur,6515602,6515602
34,Renovation of Jamalpur Police Station Police Barracks and Construction of New Female Lockup under Burdwan Division PWD in the District of Burdwan during the year 2014_2015_2nd CALL,public works department,WBPWD/EE/BND/NIT-04/2014-15,bihar,AOC,20-08-2014,M/S Sale Supply Bureau,2007220,2007220
35,"Development of New A site KSK within 4 KM from Sonahatu Police Station towards Silli, at Mouja- Sonahatu, Block- Sonahatu, Dist- Ranchi under Ranchi Divisional Office of Bihar State Office",eastern region office,RCC/ERO/37/2020-21/LT-221,jharkhand,Technical Bid Opening,27-02-2021,PROGRESSIVE SYNDICATE,5227057.16,3713698
36,"Development of New A Site Retail Outlet at Manjhauli, Block Panki, Dist Palaumu within 3 KM from Panki Police Station towards Balumath under Ranchi Divisional Office of Bihar State Office",eastern region office,RCC/ERO/37/2020-21/LT-205,bihar,AOC,25-02-2021,PROGRESSIVE SYNDICATE,10918275.12,10378427
37,Construction of HL RCC Bridge from sahiyara police station to katahichamartola,pradhan mantri gram sadak yojana,STATE SCHEME(NAB)-23-SITAMARHI-52,bihar,Financial Bid Opening,25-10-2023,Ms Maa Bindyavashini Construction,39077840.3,39034856
38,Procurement of VMS for CCTV based Police Station Surveillance Patna,bihar state electronics development corporation limited,GEM/2023/B/3575142,bihar,Financial Evaluation,30-06-2023,BAXY LIMITED,51400800,46728000
39,CONSTRUCTION OF FLOOR TILES AND INTERLOKING LAYING IN POLICE CHOUKI AKBARPUR,directorate of local bodies,17_SFC_2_2020,bihar,Financial Evaluation,28-01-2021,M/S KAMAL COSTRUCTION COMPANY,410754,402700
40,Development of new A site RO at Location Within 3 km on From Arrer Police Station towards Rahika on Rahika Benipatti Road. Dist Madhubani under Muzaffarpur Divisional Office of Bihar State Office,eastern region office,RCC/ERO/37/2024-25/LT-89,bihar,Financial Bid Opening,15-11-2024,Biswas And Sons,14161909.41,10326258
41,Chainlink fencing near Narari Kala Police Station and chainlink fencing,national thermal power corporation,NTPC/USSC-CPG2/9900253407,bihar,Financial Evaluation,27-02-2023,Prithvi Associates,3854334.12,3489520.5
42,Construction of community toilet complex in Chakiya Police Station atNTPC Barauni,national thermal power corporation,NTPC/USSC-CPG2/9900236636,bihar,Technical Bid Opening,28-03-2022,RUPAK KUMAR,1421194.61,996612.75
43,Construction of Meeting Room and Toilet at Aliganj Police Station underCD work.,national thermal power corporation,NTPC/Tanda TPS/9900217999,bihar,Financial Bid Opening,21-04-2021,M/S R.K. SINGH CONSTRUCTION CO,3369720.91,2514070
44,Construction of Police Station near Main Entrance Gate at AIIMS Patna,all india institute of medical sciences patna,AIIMSP/SE/2020-21/PS/18467,bihar,Financial Bid Opening,27-11-2020,Suman Industries Pvt. Ltd,3153385.8,2645945.8
45,Construction of Compound Wall to Avoid enchrochment near police station in sangrampur,directorate of municipal administration,NIT01/2017-18/PWD/NPS,bihar,AOC,01-06-2017,President Late Panjabrao Jadhao MKSS Aregaon,1478632,1478632
46,Construction of Compound Wall to Avoid enchrochment near police station in sangrampur,directorate of municipal administration,NIT01/2016-17/PWD/NPS,bihar,Technical Evaluation,15-04-2017,Sandeep Arun Dande,0,
47,"Work of construction of 01 no. Police Station (Thana) building, development works such as internal roads, drains, boundary wall etc. and 01 no. III-Type quarter in the premises of Police Station, Obra.",up rajya vidyut utpadan nigam limited,03/SE-OCCCC-II/OCCCD-IV/18-19,bihar,Financial Bid Opening,25-05-2018,K.N. INTERNATIONAL LTD,31129785.4,31129786
48,Result For Renewal work with General Repair of Ben Dharauli Nahar to Eliya Naxal Thana Bazar hote hue Eliya Naxal Police chauki hote hue Bihar Border tak Road in Km 1 to 3,chief engineer pwd varanasi zone,EE Ref No. 13/4A Dt 02.01.2025,bihar,AOC,25-02-2025,mahaveer construction,3182423.99,3116066
49,Complete renovation of repair of old police barrack at Nigha under Satgram Sripur Area,eastern coalfields limited,ECL/SSA/GM/AE(C)/e-T/23-24/824 Date.13.02.2024,bihar,Cancelled,26-03-2024,K G N ENTERPRISE,850362.84,850362.8
50,"S/ R to Police A. S. I. Qtr., Patna for the year 2023- 24.",ce rw i,NCB 16 OF 2023-24,bihar,AOC,16-03-2024,SANYASI KUMAR GHADEI,215914.18,215914
51,POLICE KENDRA ARWAL TO ARWAL JAHANABAD NH- 110 ROAD UNDER MR- 3054,pradhan mantri gram sadak yojana,MR-18-ARWAL-02,bihar,Financial Bid Opening,01-10-2018,Systemetic and Advance Construction Pvt. Ltd,11984890.01,11984890
52,"Developing a drinking water supply system near police shivir, Simaria Ghat",barauni refinery,BCCC153337,bihar,AOC,02-03-2016,CHANDRACHUR PRASAD SINGH,304812.67,304812.66
53,Result For Fire Arms Training Simulator ( FATS ) ( 06 lanes ) ( Delhi Police ) ( Q3 ),home department bihar bihar state police a voyage of excellence phq,"GEM/2024/B/5620360, GEM/2025/R/469536",bihar,AOC,24-03-2025,ZEN TECHNOLOGIES LIMITED,9800000,9800000
54,"P/ F Dustbin/ Benches Near Police Officer Society, Yari Road, Versova",maharashtra housing and area development authority,EE/West/MSIB / e-tender / DDR /124 / 2023-24,bihar,Financial Bid Opening,24-11-2023,VIKAS CO-OP. L.S.Ltd,1697951.08,1686483
55,Construction of Remaining Portion of F Type Police Station Building at Hazipur District Hoshiarpur.,department of home,15/2021-22,bihar,AOC,26-10-2021,EXPERTECH CONSULTANTS,9957513.76,9957514
56,Making RCC shed in Front of Campus of Pandeswar Police Station under S B Area,eastern coalfields limited,GM/SBA/CE/e-Tender/18-19/2768 Dated 03.12.2018,bihar,AOC,15-02-2019,CHATTARAJ CONSTRUCTION,637817.6,549077.75
57,EOI for the Licenseeship of Lavatory Block at the Eastern side of Police Holiday Home at New Digha,digha sankarpur development authority,EOI_011/DSDA/2016_2017,bihar,AOC,16-09-2016,Tapas Das,285000,285000
58,Macadamization of Road from Bikram Chowk to Ware House Main Road opposite Nehru Police Post,public works department,Short e-NIT No. 08 of 2024-25 Dated 31-05-2024,bihar,Financial Evaluation,03-09-2024,TRB INFRATECH PVT. LTD,4643502.02,3649451.5
59,PC WORK ON POLICE LINE ROAD IN WARD 12 BAJRANG NAGAR NP AKBARPUR,directorate of local bodies,SFC_6,bihar,Financial Bid Opening,11-03-2024,M/s Javed Khan Contractor,531544.5,528900
60,REPAIR WORK OF GOVT BUILDING AT OLD POLICE STATION SIMARIYA DISTT. PANNA M. P.,mp police,1938,bihar,AOC,22-08-2023,ROOPVASANT,485000,485000
61,"Const. of Jogging Track and Beautification work Near Yari Road Police Colony, Andheri ( W )",maharashtra housing and area development authority,EE/West/MSIB / e-tender / DDR / 139 / 2022-23,bihar,Financial Bid Opening,30-12-2022,Jai Bhairi Bhawani Majoor Sahakari Sanstha Maryadit,1234012,1234012
62,"CONST. OF ROOM AT POLICE LINE BANJARI SCHOOL, NEHRU NAGAR WARD- 29, ZONE- 18.",directorate urban administration and development,2019203416,bihar,AOC,15-11-2019,YADAV CONSTRUCTIONS,181759.6,176540.77
63,"Construction of Standard Police Station Building Type- H at Lakho Ke Behram, Distt. Ferozepur.",department of home,02/2019-20,bihar,AOC,30-07-2019,M/S LOVNEESH JINDAL,21348492,21348492
64,Making of Temporary Hall and allied civil work in Police Station of Rajnagar RO at Hasdeo Area.,south eastern coalfields limited,GM/HSD/C/e-Tender/17-18/145 Date 30/12/2017,bihar,AOC,14-06-2018,BIRENDRA KUMAR SINGH,832714.85,793054.75
