MP Police,,
item,count,ref_nos
g- 04,1,14/2020-21
various construction work at govt. h. s. school choma mohan badodiya distt. shajapur,1,NIT 19/2022-23_5
course berreck pts tighara gwalior,1,04/2021-22
renovation work of biology,1,11/2019-20
model school mahidpur,1,NIT 22/2021-22_1
plumbing work,1,SP/Ujjain/RI/3407/2023
live streaming eyeglass wi- fi hidden camera,1,"SB/STORE/2020-25 (349), BHOPAL DATED 17-8-2020"
work of external electrification for 08 gos radio,1,17/2021-22
construction of mahila desk ( fir room ) ajk thana dist rewa,1,16/2018-19
result for miscellaneous items store 02 part 01,1,SP/PTS/MT/MOD/282/2024
dismantling of old thana bhavan heeranagar indore,1,18/2020-21
repairing work of ambedkar bhawan seminar hall at raptc indore,1,20/2020-21/2
drain rcc retainning wall with drain cover at t. t. nagar stadium bhopal,1,01/2021-22
police station indore,1,DCP/HQ/IND/RI/4948/2024
construction of govt. higher secondary school bannoda pali,1,12/2023-24 Const. of Govt. H.S.S. Bannoda Pali
tender for purchase material,1,4082
construction of police chowki dumna,1,03/2020-21 Chowki Dumna
sewer line repair work behind qrts. at radio police line,1,NIT 15/2020-21_2
repair work mt hall pts sagar,1,21/2019-20
electric cable repair pta bhopal.,1,12/2022-23
4 qtrs.,1,16/2021-22
cctv work of ground,1,21/2023-24
external electrification h. t. line shifting work for f type 2,1,25/2018-19
construction of garrage hg bhopal,1,47/2018-19
repairing work of sewer line,1,01/2020-21/14
govt. middle school,3,"17/2024-25/2, 17/2024-25/1, 17/2024-25/3"
repair of thana building jobat,1,01/2024-25/9
construction work of drain behind h. n. 127 to 129 d. r. p. line sidhi,1,08/2019-20
02 h type qtrs at community helth center mohkhed distt chhindwara.,1,06/2020-21
gas godown at 25th bn bhopal,1,25/2020-21
water proofing work,2,"32/2018-19, NIT 32/2024-25_2"
result for repairing work of yamuna barrack,1,04/2025-26/3
tent light,1,TENT
5 no. bathrooms,4,"29/2024-25, 01/2025-26, 02/2025-26, 26/2024-25"
29th battalion s. a. f.,1,10/2024-25
medical imaging equipments,1,PHQ/15/GPC/4188-3/24
construction of barrack at police chowki tatary campus under thana khatia,1,14/2020-21
renovation of sp office stf bhopal,1,009/2021-22
tyonda,1,03/2023-24
cot ( folded with water proof ply ),1,PHQ/15/GPC/3691-16/2021
distt. gwalior,2,"02/2021-22, 08/2021-22"
vidisha,1,2372/2024
kushabhau thakre khel parisar,1,11/2019-20-5
construction of police chowki bhawan at piplanarayanwar distt chhindwara,1,04/2020-21
repairing work of ajk thana shivpuri mp,1,27/2019-20
sports arina,1,13/2019-20
renovation work home guard sagar,1,12/2022-23
construction of mahila desk at thana ari disttseoni,1,14/2018-19/28
